durat,fail,drugs,black,married,educ
72,0,0,0,1,7
75,0,0,1,0,12
9,1,0,0,0,9
25,1,1,0,0,9
81,0,1,0,0,9
79,0,0,1,0,12
73,0,0,1,0,12
73,0,0,1,0,10
54,1,0,0,1,10
60,1,0,1,1,11
70,0,0,1,1,6
73,1,0,1,0,12
80,0,0,1,1,11
76,0,0,1,1,10
72,0,0,1,0,11
7,1,0,0,1,10
80,0,0,1,1,8
30,1,0,1,0,11
23,1,0,1,0,9
78,0,0,0,0,11
16,1,0,0,0,10
77,0,0,0,0,14
13,1,0,1,0,8
78,0,0,0,0,10
70,0,0,0,1,16
70,0,0,1,1,9
28,1,0,1,0,9
72,0,0,0,1,12
75,0,0,1,0,12
35,1,1,0,0,10
72,0,0,0,0,9
76,0,1,1,0,7
8,1,0,0,0,3
75,0,0,0,1,12
14,1,0,0,0,11
81,0,0,1,0,6
46,1,0,1,1,11
80,0,0,0,1,11
76,0,0,0,0,12
75,0,0,0,0,9
30,1,0,0,0,9
25,1,0,1,0,8
70,0,1,1,0,10
80,0,0,0,0,9
79,0,0,0,0,9
15,1,0,0,0,10
8,1,0,1,0,10
73,0,0,0,0,5
72,0,0,0,0,11
70,0,0,0,0,10
74,0,1,0,0,10
77,0,0,0,1,11
81,0,1,1,1,9
41,1,0,1,1,8
70,0,1,1,0,11
8,1,0,1,0,9
71,1,0,1,0,9
39,1,1,0,0,8
79,0,1,1,0,11
76,0,0,0,0,10
72,0,0,1,0,7
74,0,1,0,1,9
70,0,0,1,0,9
15,1,1,0,1,8
81,0,1,1,0,5
80,0,1,0,0,9
2,1,1,1,0,12
21,1,0,0,1,13
71,0,0,0,0,9
22,1,0,1,1,12
77,0,0,0,0,10
13,1,0,0,0,11
8,1,1,1,0,10
18,1,0,0,1,10
45,1,0,1,0,12
73,0,0,1,0,12
30,1,0,0,0,10
74,0,1,0,0,9
74,0,1,1,0,5
9,1,0,1,0,12
27,1,0,1,0,12
76,0,0,1,0,9
7,1,1,1,0,10
22,1,0,0,1,10
70,0,0,1,0,12
78,0,1,0,0,11
16,1,1,0,1,6
73,0,0,0,0,10
78,0,0,1,0,11
70,0,0,1,1,16
62,1,1,1,1,7
70,0,0,0,0,11
70,0,0,0,0,12
70,0,0,1,1,6
74,0,0,1,1,12
75,0,0,0,1,4
25,1,0,1,0,12
73,0,0,0,0,7
42,1,0,0,0,8
70,0,0,0,0,12
15,1,1,0,0,11
17,1,0,1,0,13
80,0,0,1,1,12
49,1,0,1,0,11
76,0,1,0,1,11
57,1,0,0,0,8
80,0,0,0,1,12
8,1,0,0,0,10
73,0,0,0,1,11
47,1,0,1,0,10
32,1,0,0,1,6
76,0,0,0,0,5
70,0,0,1,1,12
72,0,0,0,1,5
79,0,1,0,1,9
26,1,0,0,0,10
77,0,0,1,0,12
28,1,0,1,0,10
74,0,1,0,0,12
1,1,0,0,0,7
71,1,1,0,1,8
21,1,0,1,0,12
71,0,1,0,0,12
74,0,0,1,1,12
71,0,0,0,1,7
73,0,0,0,0,4
30,1,0,1,0,6
81,0,0,0,1,12
6,1,0,1,0,8
33,1,0,0,0,9
75,0,0,0,0,7
76,0,0,0,1,7
38,1,1,1,0,8
23,1,1,0,0,8
77,0,0,1,0,8
80,0,0,0,0,9
70,0,0,1,0,9
72,0,0,0,0,7
74,0,0,1,1,10
23,1,1,1,1,8
23,1,0,1,0,11
78,0,0,1,1,10
29,1,0,0,0,11
78,0,0,0,0,12
70,0,0,1,0,9
72,0,0,0,1,8
77,0,0,0,0,12
43,1,1,1,0,9
70,0,0,0,0,2
70,0,0,0,0,5
31,1,0,0,1,8
4,1,0,1,0,11
72,0,0,1,0,11
72,0,0,1,0,7
71,0,1,1,0,8
8,1,1,0,0,12
76,0,0,0,0,10
77,0,0,0,0,8
1,1,0,1,0,7
77,0,0,1,0,13
81,0,0,0,0,12
30,1,1,0,0,12
26,1,0,0,1,6
77,0,0,0,0,7
21,1,0,0,0,9
76,0,1,0,0,10
76,0,0,1,0,10
77,0,0,1,0,13
76,0,0,1,0,9
13,1,0,0,0,12
74,0,0,1,0,12
76,0,0,1,0,11
4,1,0,0,0,3
76,0,0,1,1,12
74,0,0,0,0,8
80,0,1,0,1,11
8,1,0,0,0,9
77,0,0,1,1,10
70,0,0,1,0,10
77,0,1,0,0,8
79,0,0,1,0,11
75,0,0,1,1,11
73,0,0,1,0,12
70,0,0,1,0,7
10,1,0,0,0,9
